author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/298050451/;Санкт-Петербург;sale;flat;14;17;1;19.71;6218505;Василеостровский;Гавань;12;Горный институт;Морская Набережная ЖК
ЦАН - Центральное Агентство Недвижимости;real_estate_agent;https://spb.cian.ru/sale/flat/289199838/;Санкт-Петербург;sale;flat;3;3;1;33.9;6200000;Петродворцовый;Красносельское шоссе;22;;Veren Village Стрельна
Самолет;developer;https://spb.cian.ru/sale/flat/295426174/;Санкт-Петербург;sale;flat;3;11;1;22.0;6279633;Невский; Гудиловская;5к1;Рыбацкое;Живи! в Рыбацком
Самолет;developer;https://spb.cian.ru/sale/flat/295114187/;Санкт-Петербург;sale;flat;4;16;1;23.9;6243230;Невский;проспект Советский;43к2;Рыбацкое;Живи! в Рыбацком
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/298589132/;Санкт-Петербург;sale;flat;14;15;1;24.53;6250145;Невский;Октябрьская набережная;36к3;Проспект Большевиков;Pulse Premier
Лидер Групп;developer;https://spb.cian.ru/sale/flat/295883233/;Санкт-Петербург;sale;flat;6;24;-1;27.65;6221250;Московский;Новоизмайловское;;;YE'S Leader
РСТИ;developer;https://spb.cian.ru/sale/flat/295858754/;Санкт-Петербург;sale;flat;4;9;1;23.46;6271633;Красносельский; Тамбасова;5;Проспект Ветеранов;Кинопарк
ID 90122070;realtor;https://spb.cian.ru/sale/flat/299029615/;Санкт-Петербург;sale;flat;8;16;1;21.7;6250000;Московский;м. Ленинский проспект;;Ленинский проспект;Cube
ID 112930098;homeowner;https://spb.cian.ru/sale/flat/298233075/;Санкт-Петербург;sale;flat;16;21;1;27.55;6200000;Приморский;Полевая Сабировская ;45к1;Комендантский проспект;Богатырь 3
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296780094/;Санкт-Петербург;sale;flat;1;12;1;24.64;6300164;Московский;Новоизмайловское;;;Титул в Московском
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/298769287/;Санкт-Петербург;sale;flat;1;10;1;24.61;6300024;Московский;м. Ленинский проспект;;Ленинский проспект;Сенат
VEREN GROUP;developer;https://spb.cian.ru/sale/flat/298402698/;Санкт-Петербург;sale;flat;8;10;1;25.6;6312145;Приморский;Парашютная ;79к1;Озерки;Veren Next Шуваловский
Лидер Групп;developer;https://spb.cian.ru/sale/flat/299556164/;Санкт-Петербург;sale;flat;5;18;1;27.57;6327315;Невский; Тельмана;37;Ломоносовская;ИСКРА-Сити
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297359547/;Санкт-Петербург;sale;flat;4;17;1;24.42;6341380;Невский;Октябрьская набережная;11Б;Пролетарская;Лайнеръ
Самолет;developer;https://spb.cian.ru/sale/flat/284754959/;Санкт-Петербург;sale;flat;1;9;1;30.15;6347488;Курортный;;581;Проспект Просвещения;Курортный квартал ЖК
Самолет;developer;https://spb.cian.ru/sale/flat/295426167/;Санкт-Петербург;sale;flat;1;11;1;24.63;6314806;Невский; Гудиловская;5к1;Рыбацкое;Живи! в Рыбацком
Самолет;developer;https://spb.cian.ru/sale/flat/292207756/;Санкт-Петербург;sale;flat;7;16;1;26.81;6340719;Невский; Гудиловская;9;Обухово;Живи! в Рыбацком
Лидер Групп;developer;https://spb.cian.ru/sale/flat/286950370/;Санкт-Петербург;sale;flat;6;24;-1;28.66;6305200;Московский;Новоизмайловское;;;YE'S Leader
