,floor,floors_count,rooms_count,total_meters,price,cian_id,distance_to_subway,distance_to_center,district_rank
3105,4,4,4,84.5,9500000,297333772,0.0,29738.632799784922,11
3106,1,9,4,76.6,9500000,296782157,0.0010981211052387247,13115.373505085088,6
3107,1,9,4,72.9,9500000,291256489,0.0,10332.41868092544,10
3108,1,10,4,70.8,9500000,285022779,0.00022723558810688413,14464.103525281573,13
3109,1,9,4,77.9,9500000,290971859,0.0008377646637925319,9359.27371432727,15
3110,6,9,4,77.7,9700000,298255018,0.0,11365.446942948514,16
3111,1,5,4,78.9,9700000,294365594,0.0005346551813464052,9528.266827191295,14
3112,1,5,4,90.4,9900000,290630898,0.0,26705.488063062756,16
3113,1,10,4,72.5,9900000,293974386,0.0006984893656286808,7663.332812694155,9
3114,5,9,4,74.2,9990000,294043575,0.0006029559737901909,8627.278095846075,14
3115,4,6,4,69.1,9999999,298041381,0.00028593944035845557,3705.734713777389,3
3116,1,5,4,66.6,9999999,298852667,0.0008774332470962896,10792.413143295487,7
3117,4,9,4,73.0,10000000,295291476,0.0,11657.048174953063,16
3118,1,9,4,72.6,10100000,292847740,0.0011663171893676768,9315.160397737744,8
3119,7,9,4,72.2,10200000,293816839,0.00035568673834198024,8574.172593621848,10
3120,2,9,4,73.8,10300000,299224094,0.00021460843135908214,14608.7906229144,13
3121,2,9,4,75.0,10300000,296940810,0.0007888469092357437,11255.06792156401,6
3122,20,26,4,103.6,10300000,291802618,0.00037604436329380717,14820.628191315078,18
3123,1,9,4,82.3,10400000,294701846,0.0,26387.27989486263,11
3124,4,9,4,73.9,10390000,293687942,0.0010243089606969268,9903.572213435995,15
3125,4,5,4,93.0,10400000,297562458,0.000233977630758932,9515.392056511871,10
3126,4,10,4,77.7,10490000,291410730,0.0,26572.568454018696,16
3127,3,9,4,72.6,10500000,298391704,0.0,9037.344212967568,16
3128,7,10,4,88.0,10500000,296094167,0.0,4295.9037797657365,16
3129,5,14,4,74.0,10500000,298741170,0.0,9037.344212967568,16
3130,1,9,4,84.0,10600000,294560963,0.0006680603395243574,8228.27117365028,9
3131,1,10,4,72.5,10600000,289460468,0.0018166972829086116,8513.552862659699,9
3132,4,14,4,74.9,10800000,296635858,0.0009207940176497438,12753.747523287395,6
3133,5,9,4,73.4,10800000,295731181,0.000479552259022916,10171.750171687983,8
3134,4,9,4,73.4,10900000,298528487,0.0004719742692566573,10202.045521076472,9
3135,9,12,4,107.1,10900000,292485378,0.0,22184.89391794791,18
3136,9,9,4,72.0,10900000,298678583,0.00021764703366519182,8729.9863945769,10
3137,1,9,4,78.1,11000000,299294720,0.0,13678.343655850747,17
3138,1,5,4,91.1,11050000,297589998,0.0002034247017647483,14923.839834651017,13
3139,1,9,4,77.6,11000000,297782860,0.000318357620012898,13872.108224160243,17
3140,8,9,4,72.8,11000000,298122386,0.0018905259683343917,8159.180024916436,9
3141,1,9,4,78.1,11000000,299159449,0.0,13678.343655850747,17
3142,5,10,4,74.0,11200000,297353025,0.0004822440566162818,10098.564729610322,9
