,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
2043,4,12,3,76.0,18620000,Красногвардейский,Партизанская ,5Б,Ладожская,299403302,Партизанская 5Б,135.45392159903076,48.476215350000004
2044,2,9,3,79.5,18642750,Выборгский,Светлановский проспект,45,Политехническая,299252946,Светлановский проспект 45,30.3516502,60.0114732
2045,6,7,3,82.5,18500000,Василеостровский,Гаванская ,12к2,Приморская,299274353,Гаванская 12к2,30.240232030966585,59.93072895
2046,12,17,3,80.24,18728738,Невский,Октябрьская набережная,11Б,Пролетарская,297359635,Октябрьская набережная 11Б,30.4469472,59.8935011
2047,19,23,3,68.4,18830758,Калининский,Полюстровский проспект,75,Лесная,299507424,Полюстровский проспект 75,30.366242481841205,59.98172635
2048,2,11,3,79.58,18760587,Невский, Гудиловская,6к1,Обухово,291122681,Гудиловская 6к1,30.53247648935025,59.82824855
2049,3,16,3,84.62,18770021,Приморский,Коломяжский проспект,13к3,Пионерская,297023986,Коломяжский проспект 13к3,30.2986208,60.0015533
2050,1,4,3,106.5,18700654,Красносельский,проспект Буденного,15,Проспект Ветеранов,296297119,проспект Буденного 15,44.167328999999995,44.770835649999995
2051,12,17,3,74.5,18754941,Невский,Октябрьская набережная,11Б,Пролетарская,297359447,Октябрьская набережная 11Б,30.4469472,59.8935011
2052,13,25,3,88.72,18796359,Приморский,Коломяжский проспект,13к2,Пионерская,297024498,Коломяжский проспект 13к2,30.2986208,60.0015533
2053,2,17,3,94.0,18651908,Московский, Федора Котанова,5к1,Звездная,292227298,Федора Котанова 5к1,30.342724461132292,59.82641395
2054,2,5,3,109.33,18900205,Московский,Пулковское шоссе,95к3,Звездная,298634626,Пулковское шоссе 95к3,30.3249394,59.7828449
2055,15,24,3,107.1,18985262,Приморский,проспект Королева,63к1,Комендантский проспект,299120869,проспект Королева 63к1,30.2432098,60.0326687
2056,5,5,3,77.0,19000000,Центральный,Большая Морская ,23/12,Адмиралтейская,265206983,Большая Морская 23/12,30.3137038,59.9343842
2057,6,16,3,83.38,19017185,Московский,Кубинская ,82к1,Ленинский проспект,274433313,Кубинская 82к1,39.5951176,60.5251412
2058,13,17,3,77.17,18923030,Невский,Октябрьская набережная,11Б,Пролетарская,297359458,Октябрьская набережная 11Б,30.4469472,59.8935011
2059,12,25,3,85.65,18994141,Приморский,Коломяжский проспект,13к2,Пионерская,288159791,Коломяжский проспект 13к2,30.2986208,60.0015533
2060,6,7,3,87.92,19018200,Приморский,шоссе Суздальское,18к3,Проспект Просвещения,298651107,шоссе Суздальское 18к3,30.2807336,60.0593315
2061,4,25,3,81.36,19028547,Приморский,Богатырский проспект,2А,Пионерская,296739174,Богатырский проспект 2А,30.304165603503527,60.000785050000005
2062,13,17,3,77.86,19184105,Невский,Октябрьская набережная,11Б,Пролетарская,297359644,Октябрьская набережная 11Б,30.4469472,59.8935011
2063,1,7,3,82.52,19193700,Приморский,набережная Реки Каменки,3к3,Озерки,298651757,набережная Реки Каменки 3к3,30.2819109,60.0577206
2064,5,17,3,93.2,19160988,Московский, Федора Котанова,5к1,Звездная,292227269,Федора Котанова 5к1,30.342724461132292,59.82641395
2065,11,25,3,82.19,19388398,Приморский,Богатырский проспект,2А,Пионерская,297024799,Богатырский проспект 2А,30.304165603503527,60.000785050000005
2066,4,12,3,81.8,19316589,Московский,Черниговская ,17,Московские ворота,298657777,Черниговская 17,50.307503972209446,53.295697950000005
2067,3,7,3,85.16,19247250,Приморский,набережная Реки Каменки,3к3,Озерки,298651712,набережная Реки Каменки 3к3,30.2819109,60.0577206
2068,2,16,3,86.37,19283794,Московский,Кубинская ,82к1,Ленинский проспект,274433467,Кубинская 82к1,39.5951176,60.5251412
