author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Эталон СПБ;developer;https://spb.cian.ru/sale/flat/298658137/;Санкт-Петербург;sale;flat;2;9;1;50.1;19818493;Петроградский;проезд Петровская коса;6к1;Крестовский остров;Петровская Доминанта
М16;real_estate_agent;https://spb.cian.ru/sale/flat/287402989/;Санкт-Петербург;sale;flat;1;3;1;53.6;19990000;Василеостровский;8-я Васильевского острова линия;19;;
Петербургская Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/298749054/;Санкт-Петербург;sale;flat;4;8;1;45.9;20900000;Петроградский;Петровский;;Крестовский остров;Гранд Вью ЖК
Мир квартир элит Крестовский;real_estate_agent;https://spb.cian.ru/sale/flat/291869224/;Санкт-Петербург;sale;flat;2;9;1;56.4;21500000;Центральный;Миргородская ;1;Площадь Александра Невского;Миръ
Lange and Smith;real_estate_agent;https://spb.cian.ru/sale/flat/290207979/;Санкт-Петербург;sale;flat;3;8;1;74.58;22177350;Петроградский;набережная Реки Карповки;27;Петроградская;Клубный дом MELTZER HALL
МИР КВАРТИР;real_estate_agent;https://spb.cian.ru/sale/flat/299336888/;Санкт-Петербург;sale;flat;7;8;1;48.8;22210000;Петроградский;Петровский проспект;22к2;Спортивная;Familia
Мир Квартир Элит;real_estate_agent;https://spb.cian.ru/sale/flat/298295357/;Санкт-Петербург;sale;flat;3;8;1;44.0;22900000;Петроградский;Петровский проспект;26к2;Крестовский остров;The One
Мир Квартир Элит;real_estate_agent;https://spb.cian.ru/sale/flat/298500322/;Санкт-Петербург;sale;flat;3;8;1;53.2;25900000;Петроградский;проезд Петровская коса;1к2;Крестовский остров;Петровская коса, 1
МИР КВАРТИР;real_estate_agent;https://spb.cian.ru/sale/flat/299336820/;Санкт-Петербург;sale;flat;6;8;1;58.3;25650000;Петроградский;проспект Малый Петроградской стороны;79-81-83;Петроградская;
Винтеко;developer;https://spb.cian.ru/sale/flat/290200233/;Санкт-Петербург;sale;flat;2;7;1;81.6;27426168;Василеостровский;13-я Васильевского острова линия;50;Василеостровская;Клубный дом Манхэттен
TOP GRADE ESTATE;real_estate_agent;https://spb.cian.ru/sale/flat/298685891/;Санкт-Петербург;sale;flat;5;20;1;73.5;27900000;Выборгский;аллея Академика Лихачева;7;Площадь Мужества;Институтский, 16
МИР КВАРТИР;real_estate_agent;https://spb.cian.ru/sale/flat/299336711/;Санкт-Петербург;sale;flat;8;9;1;60.0;48000000;Петроградский;набережная Адмирала Лазарева;22;Чкаловская;One Trinity Place
Мир Квартир PREMIUM;real_estate_agent;https://spb.cian.ru/sale/flat/299336176/;Санкт-Петербург;sale;flat;2;7;1;93.8;79700000;Центральный;Шпалерная ;26;Чернышевская;Приоритет
ID 98947993;real_estate_agent;https://spb.cian.ru/sale/flat/291073133/;Санкт-Петербург;sale;flat;1;4;1;17.25;2890000;Центральный;Суворовский проспект;39;Площадь Восстания;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/298732535/;Санкт-Петербург;sale;flat;5;9;1;30.2;3850000;Петродворцовый; Победы;36к1;Проспект Ветеранов;
Первое Агентство Недвижимости;real_estate_agent;https://spb.cian.ru/sale/flat/292488026/;Санкт-Петербург;sale;flat;1;3;1;19.3;4050000;Кировский;переулок Майков;4а;Нарвская;
ФСК;developer;https://spb.cian.ru/sale/flat/295182736/;Санкт-Петербург;sale;flat;9;10;1;29.75;4261925;Пушкинский;;;;Ап-квартал Новый Московский ЖК
Колвэй;real_estate_agent;https://spb.cian.ru/sale/flat/287493774/;Санкт-Петербург;sale;flat;4;5;1;34.5;4390000;Колпинский; Танкистов;20;Шушары;
ФСК;developer;https://spb.cian.ru/sale/flat/295182676/;Санкт-Петербург;sale;flat;3;10;1;31.72;4465160;Пушкинский;;;;Ап-квартал Новый Московский ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299364613/;Санкт-Петербург;sale;flat;4;25;1;26.0;4498000;Красногвардейский;Полюстрово;;Академическая;Цветной Город
Лидер Групп;developer;https://spb.cian.ru/sale/flat/296280396/;Санкт-Петербург;sale;flat;6;12;1;28.32;4531200;Пушкинский;;;;Аэросити Клаб ЖК
ФСК;developer;https://spb.cian.ru/sale/flat/295796060/;Санкт-Петербург;sale;flat;3;10;1;33.69;4574697;Пушкинский;;;;Ап-квартал Новый Московский ЖК
Стоун;developer;https://spb.cian.ru/sale/flat/294087044/;Санкт-Петербург;sale;flat;1;5;1;34.8;4559000;Пушкинский;;;Шушары;Полет ЖК
ФСК;developer;https://spb.cian.ru/sale/flat/299384073/;Санкт-Петербург;sale;flat;9;10;1;32.54;4553582;Пушкинский;;;;Ап-квартал Новый Московский ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299364662/;Санкт-Петербург;sale;flat;4;25;1;29.3;4644050;Красногвардейский;Полюстрово;;Академическая;Цветной Город
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299364594/;Санкт-Петербург;sale;flat;2;25;1;27.3;4627350;Красногвардейский;Полюстрово;;Академическая;Цветной Город
;;https://spb.cian.ru/sale/flat/298961702/;Санкт-Петербург;sale;flat;8;11;1;31.77;4606650;Пушкинский;Ленсоветовский тер.;;Шушары;Смарт
Лидер Групп;developer;https://spb.cian.ru/sale/flat/296280469/;Санкт-Петербург;sale;flat;6;12;1;28.9;4681800;Пушкинский;;;;Аэросити Клаб ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299364579/;Санкт-Петербург;sale;flat;1;25;1;27.5;4688750;Красногвардейский;Полюстрово;;Академическая;Цветной Город
ФСК;developer;https://spb.cian.ru/sale/flat/295796088/;Санкт-Петербург;sale;flat;6;10;1;34.8;4696538;Пушкинский;;;;Ап-квартал Новый Московский ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299364636/;Санкт-Петербург;sale;flat;2;25;1;29.9;4724200;Красногвардейский;Полюстрово;;Академическая;Цветной Город
Стоун;developer;https://spb.cian.ru/sale/flat/294087482/;Санкт-Петербург;sale;flat;1;11;1;36.26;4748800;Пушкинский;;;Шушары;Полет ЖК
;;https://spb.cian.ru/sale/flat/298961692/;Санкт-Петербург;sale;flat;2;11;1;34.82;4700700;Пушкинский;Ленсоветовский тер.;;Шушары;Смарт
ФСК;developer;https://spb.cian.ru/sale/flat/295796147/;Санкт-Петербург;sale;flat;2;10;1;35.96;4763549;Пушкинский;;;;Ап-квартал Новый Московский ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/296213841/;Санкт-Петербург;sale;flat;1;22;1;31.4;4772800;Красногвардейский;м. Гражданский проспект;;Гражданский проспект;Цветной Город
Стоун;developer;https://spb.cian.ru/sale/flat/297265003/;Санкт-Петербург;sale;flat;6;6;1;27.35;4821250;Московский;Пулковский меридиан;;Звездная;Перспектива ЖК
Стоун;developer;https://spb.cian.ru/sale/flat/294086959/;Санкт-Петербург;sale;flat;1;11;1;36.72;4808600;Пушкинский;;;Шушары;Полет ЖК
Лидер Групп;developer;https://spb.cian.ru/sale/flat/286951275/;Санкт-Петербург;sale;flat;2;12;1;31.27;4846850;Пушкинский;Аэросити 4 жилой квартал;;;Аэросити 4
;;https://spb.cian.ru/sale/flat/298961637/;Санкт-Петербург;sale;flat;3;11;1;35.56;4800600;Пушкинский;Ленсоветовский тер.;;Шушары;Смарт
Лидер Групп;developer;https://spb.cian.ru/sale/flat/296280279/;Санкт-Петербург;sale;flat;12;12;1;30.48;4876800;Пушкинский;;;;Аэросити Клаб ЖК
ФСК;developer;https://spb.cian.ru/sale/flat/295183531/;Санкт-Петербург;sale;flat;2;10;1;36.68;4889370;Пушкинский;;;;Ап-квартал Новый Московский ЖК
Лидер Групп;developer;https://spb.cian.ru/sale/flat/297024084/;Санкт-Петербург;sale;flat;3;7;1;27.86;4875500;Красногвардейский;Полюстрово;69;;Старлайт
Лидер Групп;developer;https://spb.cian.ru/sale/flat/297024109/;Санкт-Петербург;sale;flat;2;7;1;28.72;4882400;Красногвардейский;Полюстрово;69;;Старлайт
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/296213845/;Санкт-Петербург;sale;flat;1;22;1;33.3;4928400;Красногвардейский;м. Гражданский проспект;;Гражданский проспект;Цветной Город
Лидер Групп;developer;https://spb.cian.ru/sale/flat/296369996/;Санкт-Петербург;sale;flat;5;12;1;29.92;4936800;Пушкинский;;;;Аэросити 5 ЖК
Колвэй;real_estate_agent;https://spb.cian.ru/sale/flat/298554222/;Санкт-Петербург;sale;flat;4;9;1;33.8;4900000;Колпинский;бульвар Трудящихся;20;Шушары;
;;https://spb.cian.ru/sale/flat/298961737/;Санкт-Петербург;sale;flat;4;11;1;36.65;4947750;Пушкинский;Ленсоветовский тер.;;Шушары;Смарт
Satanovskiy Group;real_estate_agent;https://spb.cian.ru/sale/flat/296169509/;Санкт-Петербург;sale;flat;2;24;1;34.38;4949999;Невский; Русановская;20к1;Ломоносовская;Аквилон SKY
Стоун;developer;https://spb.cian.ru/sale/flat/297265001/;Санкт-Петербург;sale;flat;6;6;1;30.04;4991600;Московский;Пулковский меридиан;;Звездная;Перспектива ЖК
Колвэй;real_estate_agent;https://spb.cian.ru/sale/flat/298482312/;Санкт-Петербург;sale;flat;4;12;1;38.9;4950000;Колпинский;Московская ;11;;
Единый Центр Инвестиций;real_estate_agent;https://spb.cian.ru/sale/flat/294480752/;Санкт-Петербург;sale;flat;9;18;1;32.4;5040000;Невский; Крыленко;34;Улица Дыбенко;AVENUE APART на Дыбенко
Лидер Групп;developer;https://spb.cian.ru/sale/flat/294840701/;Санкт-Петербург;sale;flat;2;12;1;33.37;5005500;Пушкинский;Аэросити 4 жилой квартал;;;Аэросити 4
Лидер Групп;developer;https://spb.cian.ru/sale/flat/286951288/;Санкт-Петербург;sale;flat;12;12;1;30.42;5019300;Пушкинский;Аэросити 4 жилой квартал;;;Аэросити 4
Стоун;developer;https://spb.cian.ru/sale/flat/297264306/;Санкт-Петербург;sale;flat;2;6;1;31.06;5004600;Московский;Пулковский меридиан;;Звездная;Перспектива ЖК
ФСК;developer;https://spb.cian.ru/sale/flat/295183560/;Санкт-Петербург;sale;flat;3;10;1;38.53;5040032;Пушкинский;;;;Ап-квартал Новый Московский ЖК
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/292498344/;Санкт-Петербург;sale;flat;14;15;1;36.2;5040000;Невский; Русановская;24;Ломоносовская;Аквилон SKY
ФСК;developer;https://spb.cian.ru/sale/flat/295183593/;Санкт-Петербург;sale;flat;9;10;1;37.83;5042663;Пушкинский;;;;Ап-квартал Новый Московский ЖК
;;https://spb.cian.ru/sale/flat/292781492/;Санкт-Петербург;sale;flat;9;13;1;32.5;5037500;Невский;Варфоломеевская ;6;Ломоносовская;Апарт-отель Начало
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299237083/;Санкт-Петербург;sale;flat;2;22;1;32.8;5051200;Красногвардейский; Пейзажная;6;Девяткино;Цветной Город
;;https://spb.cian.ru/sale/flat/298270482/;Санкт-Петербург;sale;flat;4;9;1;32.44;5093080;Колпинский;Заречье тер.;;Рыбацкое;Квартал Заречье
;;https://spb.cian.ru/sale/flat/298961611/;Санкт-Петербург;sale;flat;5;11;1;37.91;5117850;Пушкинский;Ленсоветовский тер.;;Шушары;Смарт
Русский Фонд Недвижимости;real_estate_agent;https://spb.cian.ru/sale/flat/297182614/;Санкт-Петербург;sale;flat;5;24;1;31.0;5100000;Невский; Русановская;18к6;Ломоносовская;ЦДС Приневский
Лидер Групп;developer;https://spb.cian.ru/sale/flat/296280711/;Санкт-Петербург;sale;flat;6;12;1;30.97;5110050;Пушкинский;;;;Аэросити 5 ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299237160/;Санкт-Петербург;sale;flat;13;22;1;32.0;5136000;Красногвардейский; Пейзажная;6;Девяткино;Цветной Город
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299364630/;Санкт-Петербург;sale;flat;2;25;1;34.1;5115000;Красногвардейский;Полюстрово;;Академическая;Цветной Город
ЦАН - Центральное Агентство Недвижимости;real_estate_agent;https://spb.cian.ru/sale/flat/298299816/;Санкт-Петербург;sale;flat;10;17;1;33.37;5100000;Красногвардейский;Полюстрово;31к1;Девяткино;Цветной Город
Стоун;developer;https://spb.cian.ru/sale/flat/297264745/;Санкт-Петербург;sale;flat;3;6;1;32.77;5114350;Московский;Пулковский меридиан;;Звездная;Перспектива ЖК
ФСК;developer;https://spb.cian.ru/sale/flat/295183549/;Санкт-Петербург;sale;flat;2;10;1;39.84;5112189;Пушкинский;;;;Ап-квартал Новый Московский ЖК
Терминал-Ресурс;developer;https://spb.cian.ru/sale/flat/296121868/;Санкт-Петербург;sale;flat;3;4;1;28.48;5183360;Пушкинский;;;Купчино;Образцовый квартал 14 ЖК
;;https://spb.cian.ru/sale/flat/298270441/;Санкт-Петербург;sale;flat;2;9;1;33.12;5166720;Колпинский;Заречье тер.;;Рыбацкое;Квартал Заречье
;;https://spb.cian.ru/sale/flat/298961723/;Санкт-Петербург;sale;flat;2;11;1;38.67;5220450;Пушкинский;Ленсоветовский тер.;;Шушары;Смарт
Кирилл Чернявский;realtor;https://spb.cian.ru/sale/flat/298522474/;Санкт-Петербург;sale;flat;5;9;1;26.0;5240000;Кировский; Лени Голикова;18;Проспект Ветеранов;
Лидер Групп;developer;https://spb.cian.ru/sale/flat/286951547/;Санкт-Петербург;sale;flat;5;10;1;30.95;5261500;Пушкинский;;;;Аэросити Фемили ЖК
Стоун;developer;https://spb.cian.ru/sale/flat/297264441/;Санкт-Петербург;sale;flat;6;6;1;32.2;5251400;Московский;Пулковский меридиан;;Звездная;Перспектива ЖК
RBG Недвижимость  Realty Broker Group;real_estate_agent;https://spb.cian.ru/sale/flat/292401197/;Санкт-Петербург;sale;flat;6;26;1;30.0;5290000;Красногвардейский;Полюстрово;10к1;Гражданский проспект;Цветной Город
Лидер Групп;developer;https://spb.cian.ru/sale/flat/296280597/;Санкт-Петербург;sale;flat;5;12;1;35.62;5343000;Пушкинский;;;;Аэросити Клаб ЖК
Терминал-Ресурс;developer;https://spb.cian.ru/sale/flat/293667096/;Санкт-Петербург;sale;flat;2;4;1;26.6;5346119;Пушкинский; Образцовая;2;Купчино;Образцовый квартал 13
Терминал-Ресурс;developer;https://spb.cian.ru/sale/flat/296120587/;Санкт-Петербург;sale;flat;1;4;1;29.49;5321250;Пушкинский;;;Купчино;Образцовый квартал 15 ЖК
;;https://spb.cian.ru/sale/flat/298961745/;Санкт-Петербург;sale;flat;4;11;1;39.67;5355450;Пушкинский;Ленсоветовский тер.;;Шушары;Смарт
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/299319112/;Санкт-Петербург;sale;flat;6;25;1;33.5;5350000;Красногвардейский; Пейзажная;10;Девяткино;Цветной Город
Стоун;developer;https://spb.cian.ru/sale/flat/294086950/;Санкт-Петербург;sale;flat;1;11;1;43.76;5373720;Пушкинский;;;Шушары;Полет ЖК
Лидер Групп;developer;https://spb.cian.ru/sale/flat/286950646/;Санкт-Петербург;sale;flat;2;12;1;34.63;5367650;Пушкинский;Аэросити 4 жилой квартал;;;Аэросити 4
Лидер Групп;developer;https://spb.cian.ru/sale/flat/295158562/;Санкт-Петербург;sale;flat;6;12;1;33.7;5392000;Пушкинский;Аэросити 4 жилой квартал;;;Аэросити 4
ФСК;developer;https://spb.cian.ru/sale/flat/295183541/;Санкт-Петербург;sale;flat;2;10;1;41.49;5358350;Пушкинский;;;;Ап-квартал Новый Московский ЖК
