,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
2224,2,11,3,79.58,18760587,Невский, Гудиловская,6к1,Обухово,291122681,Гудиловская 6к1,30.532533,59.828663
2225,3,16,3,84.62,18770021,Приморский,Коломяжский проспект,13к3,Пионерская,297023986,Коломяжский проспект 13к3,30.303579,59.999377
2226,1,4,3,106.5,18700654,Красносельский,проспект Буденного,15,Проспект Ветеранов,296297119,проспект Буденного 15,30.092682,59.838114
2227,12,17,3,74.5,18754941,Невский,Октябрьская набережная,11Б,Пролетарская,297359447,Октябрьская набережная 11Б,30.496959,59.861652
2228,13,25,3,88.72,18796359,Приморский,Коломяжский проспект,13к2,Пионерская,297024498,Коломяжский проспект 13к2,30.302348,59.999615
2229,2,17,3,94.0,18651908,Московский, Федора Котанова,5к1,Звездная,292227298,Федора Котанова 5к1,30.342755,59.826411
2230,2,5,3,109.33,18900205,Московский,Пулковское шоссе,95к3,Звездная,298634626,Пулковское шоссе 95к3,30.308322,59.754121
2231,15,24,3,107.1,18985262,Приморский,проспект Королева,63к1,Комендантский проспект,299120869,проспект Королева 63к1,30.243617,60.03242
2232,5,5,3,77.0,19000000,Центральный,Большая Морская ,23/12,Адмиралтейская,265206983,Большая Морская 23/12,30.313784,59.934465
2233,6,16,3,83.38,19017185,Московский,Кубинская ,82к1,Ленинский проспект,274433313,Кубинская 82к1,30.300902,59.840781
2234,13,17,3,77.17,18923030,Невский,Октябрьская набережная,11Б,Пролетарская,297359458,Октябрьская набережная 11Б,30.496959,59.861652
2235,12,25,3,85.65,18994141,Приморский,Коломяжский проспект,13к2,Пионерская,288159791,Коломяжский проспект 13к2,30.302348,59.999615
2236,6,7,3,87.92,19018200,Приморский,шоссе Суздальское,18к3,Проспект Просвещения,298651107,шоссе Суздальское 18к3,30.279432,60.058973
2237,4,25,3,81.36,19028547,Приморский,Богатырский проспект,2А,Пионерская,296739174,Богатырский проспект 2А,30.304289,60.000857
2238,13,17,3,77.86,19184105,Невский,Октябрьская набережная,11Б,Пролетарская,297359644,Октябрьская набережная 11Б,30.496959,59.861652
2239,1,7,3,82.52,19193700,Приморский,набережная Реки Каменки,3к3,Озерки,298651757,набережная Реки Каменки 3к3,30.280879,60.057527
2240,5,17,3,93.2,19160988,Московский, Федора Котанова,5к1,Звездная,292227269,Федора Котанова 5к1,30.342755,59.826411
2241,11,25,3,82.19,19388398,Приморский,Богатырский проспект,2А,Пионерская,297024799,Богатырский проспект 2А,30.304289,60.000857
2242,4,12,3,81.8,19316589,Московский,Черниговская ,17,Московские ворота,298657777,Черниговская 17,30.330717,59.8977
2243,3,7,3,85.16,19247250,Приморский,набережная Реки Каменки,3к3,Озерки,298651712,набережная Реки Каменки 3к3,30.280879,60.057527
2244,2,16,3,86.37,19283794,Московский,Кубинская ,82к1,Ленинский проспект,274433467,Кубинская 82к1,30.300902,59.840781
2245,2,19,3,90.23,19265654,Приморский,Коломяжский проспект,13,Пионерская,297025004,Коломяжский проспект 13,30.30101,59.998027
2246,1,6,3,120.2,19232000,Выборгский,шоссе Суздальское,10,Проспект Просвещения,295461270,шоссе Суздальское 10,30.291353,60.062759
