author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Самолет,developer,https://spb.cian.ru/sale/flat/293431278/,Санкт-Петербург,sale,flat,5,16,1,24.53,6102450,Невский, Гудиловская,9,Рыбацкое,Живи! в Рыбацком
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/299095700/,Санкт-Петербург,sale,flat,4,12,1,21.9,6134190,Красногвардейский,Большая Охта,,,ЛСР Большая Охта ЖК
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/299403253/,Санкт-Петербург,sale,flat,2,12,1,24.5,6149500,Красногвардейский,Партизанская ,5Б,Ладожская,ЛСР. Большая Охта
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/298589187/,Санкт-Петербург,sale,flat,5,12,1,24.17,6100072,Приморский,Коломяги,,Озерки,Прайм Приморский ЖК
РосСтройИнвест,developer,https://spb.cian.ru/sale/flat/297292870/,Санкт-Петербург,sale,flat,3,13,1,26.1,6140691,Приморский,Юнтолово,,Беговая,Тайм Сквер ЖК
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/295387979/,Санкт-Петербург,sale,flat,1,12,1,26.58,6100110,Приморский,Коломяги,,Озерки,Прайм Приморский ЖК
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/299634308/,Санкт-Петербург,sale,flat,2,12,1,23.3,6186150,Красногвардейский,Партизанская ,5,,ЛСР. Большая Охта
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/296463083/,Санкт-Петербург,sale,flat,2,12,1,23.6,6171400,Красногвардейский,Партизанская ,5,,ЛСР. Большая Охта
КВС,developer,https://spb.cian.ru/sale/flat/294621196/,Санкт-Петербург,sale,flat,1,4,1,28.6,6186920,Пушкинский,,,Купчино,Дубровский ЖК
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/294538766/,Санкт-Петербург,sale,flat,5,12,1,22.2,6182700,Красногвардейский,Партизанская ,5,,ЛСР. Большая Охта
ФСК,developer,https://spb.cian.ru/sale/flat/297553055/,Санкт-Петербург,sale,flat,9,13,-1,28.6,6174253,Приморский,Коломяжский проспект,4,Черная речка,Апартаменты Zoom Черная Речка
Лидер Групп,developer,https://spb.cian.ru/sale/flat/299556081/,Санкт-Петербург,sale,flat,2,18,1,28.7,6170500,Невский, Тельмана,37,Ломоносовская,ИСКРА-Сити
