,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id
4894,5,5,4,48.4,7700000,Кировский, Лени Голикова,44,Проспект Ветеранов,296440340
4895,5,5,4,48.9,7777000,Кировский,проспект Ветеранов,17,Проспект Ветеранов,294909678
4896,4,5,4,59.5,7990000,Кировский,проспект Стачек,220К2,Проспект Ветеранов,294370852
4897,5,5,4,49.0,7900000,Московский, Костюшко,64,Московская,292976950
4898,2,5,4,49.4,8000000,Московский, Костюшко,15,Московская,299467117
4899,4,5,4,59.6,8100000,Кировский,бульвар Новаторов,90,Проспект Ветеранов,288758716
4900,2,7,-1,129.0,8050000,Василеостровский,18-я Васильевского острова линия,23,Горный институт,298570625
4901,1,9,4,72.5,8200000,Колпинский,Тверская ,48,Шушары,298924600
4902,3,5,4,59.4,8300000,Кировский,проспект Ветеранов,107,Ленинский проспект,299246025
4903,3,5,4,60.0,8300000,Красносельский, Пограничника Гарькавого,46К3,Проспект Ветеранов,290398045
4904,4,5,4,59.01,8400000,Кировский,проспект Ветеранов,27,Проспект Ветеранов,294140098
4905,1,9,4,73.4,8500000,Колпинский,Заводской проспект,20к3,Шушары,291914478
4906,2,3,4,81.4,8500000,Красносельский,проспект Ленина,61к1,,284953523
4907,1,9,4,74.0,8800000,Приморский,проспект Авиаконструкторов,13,Комендантский проспект,299587478
4908,1,9,4,73.8,8900000,Невский,проспект Солидарности,9К2,Проспект Большевиков,292489011
4909,3,4,4,66.5,8900000,Кировский, Метростроевцев,3,Нарвская,298072946
4910,2,5,4,49.3,9000000,Кировский,проспект Ветеранов,18,Проспект Ветеранов,293025492
4911,1,3,4,64.4,9000000,Кировский, Трефолева,14,Кировский завод,294780857
4912,3,9,-1,67.5,9000000,Московский,Новоизмайловский проспект,3,Электросила,291874363
4913,1,9,4,74.2,9150000,Фрунзенский,Бухарестская ,33К5,,297797029
4914,9,9,4,73.3,9300000,Красногвардейский, Передовиков,33К2,Ладожская,299250455
4915,4,4,4,84.5,9500000,Петродворцовый, Красного Флота,1,Проспект Ветеранов,297333772
4916,1,9,4,76.6,9500000,Выборгский, Шостаковича,1/9,Проспект Просвещения,296782157
4917,1,9,4,72.9,9500000,Красногвардейский,Хасанская ,24,,291256489
4918,1,10,4,70.8,9500000,Красносельский, Партизана Германа,18К1,Проспект Ветеранов,285022779
4919,1,9,4,77.9,9500000,Невский, Дыбенко,12К3,Улица Дыбенко,290971859
4920,6,9,4,77.7,9700000,Колпинский,Полевая ,14,Рыбацкое,298255018
4921,1,5,4,78.9,9700000,Фрунзенский,Софийская ,40К2,Ломоносовская,294365594
4922,1,5,4,90.4,9900000,Колпинский,Стахановская ,20,Шушары,290630898
4923,1,10,4,72.5,9900000,Приморский,Ситцевая ,11К2,Старая Деревня,293974386
4924,5,9,4,74.2,9990000,Фрунзенский, Белы Куна,27к1,Международная,294043575
4925,4,6,4,69.1,9999999,Адмиралтейский,Курляндская ,22-24Ж,Балтийская,298041381
4926,1,5,4,66.6,9999999,Московский, Костюшко,70,Московская,298852667
4927,4,9,4,73.0,10000000,Колпинский,Полевая ,25,Рыбацкое,295291476
4928,1,9,4,72.6,10100000,Калининский,проспект Науки,4К2,Академическая,292847740
4929,7,9,4,72.2,10200000,Красногвардейский,Ириновский проспект,17К1,Ладожская,293816839
4930,2,9,4,73.8,10300000,Красносельский, Партизана Германа,33К3,Проспект Ветеранов,299224094
4931,2,9,4,75.0,10300000,Выборгский,проспект Луначарского,62К1,Озерки,296940810
4932,20,26,4,103.6,10300000,Пушкинский,проспект Новгородский,4с1,Звездная,291802618
4933,1,9,4,82.3,10400000,Петродворцовый, Шахматова,4к1,Автово,294701846
4934,4,9,4,73.9,10390000,Невский, Подвойского,28к1К,Проспект Большевиков,293687942
4935,4,5,4,93.0,10400000,Красногвардейский,шоссе Революции,112,Ладожская,297562458
4936,4,10,4,77.7,10490000,Колпинский,Пролетарская ,54,Шушары,291410730
4937,3,9,4,72.6,10500000,Колпинский,Октябрьская ,67,Шушары,298391704
4938,7,10,4,88.0,10500000,Колпинский,Тверская ,33,Шушары,296094167
4939,5,14,4,74.0,10500000,Колпинский,Октябрьская ,61,Шушары,298741170
