author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Ленстройтрест;developer;https://spb.cian.ru/sale/flat/298649455/;Санкт-Петербург;sale;flat;1;5;2;79.7;14171350;Колпинский;шоссе Рубежное;14;Рыбацкое;Юттери
ФСК;developer;https://spb.cian.ru/sale/flat/297552965/;Санкт-Петербург;sale;flat;7;13;2;70.93;14170466;Приморский;Коломяжский проспект;4;Черная речка;Апартаменты Zoom Черная Речка
БФА-Девелопмент;developer;https://spb.cian.ru/sale/flat/298609230/;Санкт-Петербург;sale;flat;1;7;2;60.73;14141000;Выборгский;Шувалово-Озерки;;;БФА в Озерках
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/298056548/;Санкт-Петербург;sale;flat;24;25;2;75.67;14397791;Приморский;Коломяги;;Проспект Просвещения;Френдс ЖК
БФА-Девелопмент;developer;https://spb.cian.ru/sale/flat/298609167/;Санкт-Петербург;sale;flat;1;7;2;65.39;14359000;Выборгский;Шувалово-Озерки;;;БФА в Озерках
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299403351/;Санкт-Петербург;sale;flat;2;12;2;59.5;14309750;Красногвардейский;Партизанская ;5Б;Ладожская;ЛСР. Большая Охта
Самолет;developer;https://spb.cian.ru/sale/flat/295426178/;Санкт-Петербург;sale;flat;4;11;2;59.0;14383305;Невский; Гудиловская;5к1;Рыбацкое;Живи! в Рыбацком
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/274433568/;Санкт-Петербург;sale;flat;9;16;2;59.64;14293104;Московский;Кубинская ;82к1;Ленинский проспект;Cube
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/293303923/;Санкт-Петербург;sale;flat;2;18;2;63.57;14303521;Московский;м. Ленинский проспект;;Ленинский проспект;Cube
Ленстройтрест;developer;https://spb.cian.ru/sale/flat/298649541/;Санкт-Петербург;sale;flat;4;5;2;79.28;14325600;Колпинский;шоссе Рубежное;14;Рыбацкое;Юттери
РСТИ;developer;https://spb.cian.ru/sale/flat/286344227/;Санкт-Петербург;sale;flat;19;19;2;57.29;14398651;Калининский;Финляндский;;Выборгская;Master Place
РСТИ;developer;https://spb.cian.ru/sale/flat/297081455/;Санкт-Петербург;sale;flat;5;7;2;53.53;14397557;Калининский;Финляндский;;Выборгская;Master Place
РСТИ;developer;https://spb.cian.ru/sale/flat/280115509/;Санкт-Петербург;sale;flat;1;7;2;60.21;14286629;Калининский;Финляндский;;Выборгская;Master Place
КВС;developer;https://spb.cian.ru/sale/flat/294622041/;Санкт-Петербург;sale;flat;5;17;2;57.01;14337455;Калининский;Финляндский;;;Квартал бизнес-класса Б15
БФА-Девелопмент;developer;https://spb.cian.ru/sale/flat/298609310/;Санкт-Петербург;sale;flat;1;7;2;63.78;14349000;Выборгский;Шувалово-Озерки;;;БФА в Озерках
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296055003/;Санкт-Петербург;sale;flat;2;12;2;53.67;14400251;Московский;Новоизмайловское;;;Титул в Московском
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296659930/;Санкт-Петербург;sale;flat;1;10;2;59.15;14500031;Московский;м. Ленинский проспект;;Ленинский проспект;Сенат
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/295505775/;Санкт-Петербург;sale;flat;4;12;2;53.25;14500294;Московский;Новоизмайловское;;;Титул в Московском
Лидер Групп;developer;https://spb.cian.ru/sale/flat/299555849/;Санкт-Петербург;sale;flat;2;13;2;66.01;14522200;Невский; Тельмана;37;Ломоносовская;ИСКРА-Сити
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/294545603/;Санкт-Петербург;sale;flat;10;17;2;61.39;14549430;Василеостровский;Гавань;12;Горный институт;Морская Набережная ЖК
Эталон СПБ;developer;https://spb.cian.ru/sale/flat/298656893/;Санкт-Петербург;sale;flat;24;25;2;67.4;14542031;Приморский;Коломяги;;Проспект Просвещения;Новоорловский ЖК
