floor,floors_count,rooms_count,total_meters,price,distance_to_subway,distance_to_center,district_rank
3,8,1,74.58,22177350,0.0021384483396120297,3220.8379309852594,1
7,8,1,48.8,22210000,0.0005369793266227002,3531.0111824615014,1
3,8,1,44.0,22900000,0.0007647119970591961,3918.5140509483917,1
3,8,1,53.2,25900000,0.0009559728376964422,4174.581413699067,1
6,8,1,58.3,25650000,0.0030090220849231385,2724.3619468037755,1
2,7,1,81.6,27426168,0.0017629605680533039,2480.8356667947337,4
5,20,1,73.5,27900000,0.0008606429687940384,7074.693753651223,6
8,9,1,60.0,48000000,0.0010960334586016364,3229.846786518408,1
2,7,1,93.8,79700000,0.001445500708667435,2366.369357880554,2
1,4,1,17.25,2890000,0.000795607331575815,3619.350306784193,2
5,9,1,30.2,3850000,0.0,21021.000829402044,11
1,3,1,19.3,4050000,0.0015252757516248626,5011.112897450391,17
4,5,1,34.5,4390000,0.0,25919.66117722062,16
3,7,1,27.86,4875500,0.0,6146.635440363442,10
2,7,1,28.72,4882400,0.0,6146.635440363442,10
4,9,1,33.8,4900000,0.0,27443.036163115143,16
2,24,1,34.38,4949999,0.00023624053360519893,14076.095534303193,15
4,12,1,38.9,4950000,0.0,21184.06511196002,16
9,18,1,32.4,5040000,0.0012588537774790166,11072.605433336845,15
14,15,1,36.2,5040000,0.00022643209473604165,14251.829087741482,15
9,13,1,32.5,5037500,0.0007687356993046883,9125.507997916624,15
2,22,1,32.8,5051200,0.00021535083109416693,12489.10985970657,10
5,24,1,31.0,5100000,0.00024609071631469405,13791.994911995893,15
13,22,1,32.0,5136000,0.00021535083109416693,12489.10985970657,10
10,17,1,33.37,5100000,0.0,6146.635440363442,10
5,9,1,26.0,5240000,0.0008381778783572384,11552.491847961177,17
6,26,1,30.0,5290000,0.0,6146.635440363442,10
2,4,1,26.6,5346119,0.0,21616.979981219512,18
6,25,1,33.5,5350000,0.00021779672528193092,12645.640334307906,10
5,5,1,32.0,5400000,0.0016147139149212805,9861.873455397195,7
2,7,1,34.96,5593600,0.0,6146.635440363442,10
2,4,1,30.2,5500000,0.0,24618.910402156653,18
22,25,1,34.0,5500000,0.00021492017948025163,11952.619815663995,10
3,7,1,34.22,5646300,0.0,6146.635440363442,10
2,25,1,36.43,5646650,0.0,6146.635440363442,10
7,9,1,31.1,5600000,0.00035437548697764374,7288.585721821075,10
1,5,1,31.08,5650017,0.0,21185.275457156422,7
3,13,1,34.2,5699000,0.0,10712.474423827074,10
1,8,1,35.2,5667200,0.0,26382.5299740703,13
11,11,1,32.1,5664202,0.00031623926857754725,15374.23822019453,18
2,9,1,36.8,5700000,0.0,24632.880977340064,16
2,25,1,26.71,5742650,0.0,11149.610709218312,13
3,9,1,30.0,5700000,0.0011940670453333916,11952.535577646055,17
4,12,1,31.6,5700000,0.0,15718.84301528967,13
10,12,1,32.9,5757500,0.0,15129.081635349468,18
3,4,1,28.65,5800034,0.0,24513.100936791954,18
10,12,1,34.2,5814000,0.0,15129.081635349468,18
3,9,1,32.1,5850000,0.0002331683099602316,12465.611314796868,13
2,7,1,36.75,5880000,0.0,6146.635440363442,10
1,8,1,37.74,5981790,0.0,26382.5299740703,13
15,19,1,36.1,5900000,0.0003869789220649585,12423.514218437636,10
6,9,1,32.0,5990000,0.0006133475294986842,13343.14546516266,6
1,4,1,30.71,5936027,0.0,21616.979981219512,18
2,10,1,40.4,5970000,0.0,22325.313137325917,18
4,11,1,34.3,6000000,0.0004987553220574718,17643.02802106215,15
1,4,1,32.25,6000048,0.0,24513.100936791954,18
3,8,1,37.05,6002100,0.0,26382.5299740703,13
3,8,1,37.26,6036120,0.0,26396.73922550963,13
14,24,1,37.1,6000000,0.00023567480466798435,14004.043634060608,15
1,11,1,36.3,6034875,0.00031290301982135583,15411.872673248976,18
5,13,1,40.1,6015000,0.0007687356993046883,9125.507997916624,15
2,13,1,35.3,6001000,0.0007687356993046883,9125.507997916624,15
21,25,1,35.3,6000000,0.0003869743162224031,15321.37765220292,18
1,5,1,20.0,6000000,0.001374593962408917,2640.534889470383,4
1,4,1,32.7,6050137,0.0,24513.100936791954,18
10,12,1,35.8,6086000,0.0,15129.081635349468,18
11,25,1,37.94,6129999,0.0,20433.736543442858,6
4,5,1,41.0,6100000,0.0,24173.965159743046,18
1,4,1,34.3,6100100,0.0,24513.100936791954,18
6,13,1,40.7,6105000,0.0007687356993046883,9125.507997916624,15
5,8,1,37.92,6143040,0.0,26396.73922550963,13
1,5,1,34.77,6250185,0.0,21185.275457156422,7
1,5,1,34.37,6250150,0.0,21185.275457156422,7
5,5,1,31.76,6200171,0.0,21185.275457156422,7
8,23,1,32.7,6263384,0.0,13805.204170430852,9
12,12,1,38.0,6270000,0.0,15129.081635349468,18
4,10,1,31.8,6250000,0.0006353700094553764,7841.65993471427,6
10,12,1,36.7,6239000,0.0,15129.081635349468,18
1,11,1,35.6,6251762,0.00031623926857754725,15374.23822019453,18
1,11,1,35.1,6250021,0.00031623926857754725,15374.23822019453,18
5,16,1,37.21,6200000,0.0,14653.340626538356,6
7,15,1,36.97,6200000,0.0002378048684217157,14728.850631531192,6
4,5,1,30.8,6250000,0.0009102963123006427,6125.690771979676,9
3,4,1,31.0,6200000,0.0,24826.58519622048,18
2,5,1,30.95,6300120,0.0,20859.281613282412,7
1,4,1,34.9,6300252,0.0,24513.100936791954,18
1,4,1,35.8,6300227,0.0,24513.100936791954,18
6,8,1,39.32,6369840,0.0,26382.5299740703,13
8,12,1,33.24,6382402,0.0002260399891812572,14868.378247345438,18
11,11,1,37.2,6361200,0.00031290301982135583,15411.872673248976,18
10,11,1,34.3,6382065,0.00031623926857754725,15374.23822019453,18
1,11,1,37.8,6356070,0.00031623926857754725,15374.23822019453,18
2,12,1,33.54,6363092,0.0002260399891812572,14868.378247345438,18
5,23,1,34.61,6474301,0.0,13805.204170430852,9
2,20,1,28.11,6465300,0.0,11149.610709218312,13
